"customerID"	"tenure"	"Contract"	"PaperlessBilling"	"PaymentMethod"	"MonthlyCharges"	"TotalCharges"
"1"	"8260-NGFNY"	"One"	"Month-to-month"	"No"	"Mailed check"	25.2	25.2
"2"	"2359-QWQUL"	"39"	"One year"	"Yes"	"Credit card (automatic)"	104.7	4134.85
"3"	"6598/RFFVI"	"2"	"One year"	"No"	"Credit card (automatic)"	19.3	28.3
"4"	"IXSTS-8780"	"6"	"Month-to-month"	"Yes"	"Electronic check"	90.1	521.3
"5"	"2674/MIAHT"	"Four"	"Month-to-month"	"Yes"	"Mailed check"	80.3	324.2
"6"	"6077-BDPXA"	"3"	"Month-to-month"	"Yes"	"Electronic check"	70.15	194.2
"7"	"7929/SKFGK"	"70"	"Two year"	"No"	"Credit card (automatic)"	114.3	8244.3
"8"	"7547-EKNFS"	"42"	"Month-to-month"	"Yes"	"Bank transfer (automatic)"	95.25	3959.35
"9"	"5854-KSRBJ"	"70"	"Two year"	"No"	"Mailed check"	25.4	1782.05
"10"	"5054-IEXZT"	"One"	"Month-to-month"	"Yes"	"Electronic check"	75.35	75.35
"11"	"1877-HKBQX"	"11"	"One year"	"Yes"	"Mailed check"	54.6	617.85
"12"	"7235-NXZCP"	"2"	"Month-to-month"	"Yes"	"Mailed check"	74.85	156.4
"13"	"3325-FUYCG"	"28"	"One year"	"No"	"Electronic check"	106.1	2847.4
"14"	"2452-MRMZF"	"72"	"Two year"	"Yes"	"Credit card (automatic)"	25.7	NA
"15"	"9184-GALIL"	"38"	"Month-to-month"	"No"	"Mailed check"	20.45	781.25
"16"	"9374-YOLBJ"	"One"	"Month-to-month"	"No"	"Electronic check"	19.25	19.25
"17"	"2612-PHGOX"	"64"	"Two year"	"Yes"	"Bank transfer (automatic)"	76.1	4818.8
"18"	"6874-SGLHU"	"30"	"One year"	"Yes"	"Bank transfer (automatic)"	97	3021.3
"19"	"9588-YRFHY"	"49"	"Two year"	"Yes"	"Credit card (automatic)"	19.9	1022.6
"20"	"6513-EECDB"	"One"	"Month-to-month"	"Yes"	"Electronic check"	73.55	73.55
"21"	"1306-RPWXZ"	"49"	"Two year"	"No"	"Credit card (automatic)"	8	1024.65
"22"	"3797-VTIDR"	"One"	"Month-to-month"	"Yes"	"Electronic check"	23.45	23.45
"23"	"2657-VPXTA"	"10"	"Month-to-month"	"Yes"	"Electronic check"	3.5	929.45
"24"	"8464-EETCQ"	"57"	"Two year"	"No"	"Credit card (automatic)"	18.8	1094.35
"25"	"0307-BCOPK"	"16"	"One year"	"No"	"Mailed check"	19.05	326.65
"26"	"9762-YAQAA"	"39"	"One year"	"No"	"Credit card (automatic)"	81.4	3213.75
"27"	"1114-CENIM"	"54"	"Month-to-month"	"Yes"	"Credit card (automatic)"	55	3092.65
"28"	"1090-PYKCI"	"69"	"One year"	"Yes"	"Credit card (automatic)"	105.1	7234.8
"29"	"6362-QHAFM"	"42"	"One year"	"Yes"	"Electronic check"	108.3	4586.15
"30"	"7978-DKUQH"	"25"	"Month-to-month"	"Yes"	"Electronic check"	74.6	1797.75
"31"	"6463-HHXJR"	"71"	"Two year"	"No"	"Bank transfer (automatic)"	100.5	7030.65
"32"	"2592-YKDIF"	"One"	"Month-to-month"	"No"	"Mailed check"	20.35	20.35
"33"	"3307-TLCUD"	"17"	"Month-to-month"	"No"	"Mailed check"	34.4	592.75
"34"	"6651-AZVTJ"	"49"	"Month-to-month"	"Yes"	"Electronic check"	99.8	4872.45
"35"	"7181-OQCUT"	"21"	"Month-to-month"	"No"	"Mailed check"	103.85	2215
"36"	"2307-FYNNL"	"65"	"Two year"	"Yes"	"Electronic check"	109.05	7108.2
"37"	"3671-SHRSP"	"Four"	"Month-to-month"	"Yes"	"Mailed check"	80.6	319.15
"38"	"3399-BMLVW"	"51"	"Two year"	"No"	"Credit card (automatic)"	60.5	3121.45
"39"	"7572-KPVKK"	"62"	"Two year"	"Yes"	"Electronic check"	104.05	6590.5
"40"	"8898-KASCD"	"39"	"One year"	"No"	"Mailed check"	35.55	1309.15
"41"	"8853-TZDGH"	"72"	"Two year"	"Yes"	"Bank transfer (automatic)"	111.6	8012.75
"42"	"4910-AQFFX"	"9"	"Month-to-month"	"Yes"	"Bank transfer (automatic)"	79.35	NA
"43"	"7359-SSBJK"	"64"	"Two year"	"Yes"	"Credit card (automatic)"	70.2	4481
"44"	"4106-HADHQ"	"39"	"One year"	"No"	"Credit card (automatic)"	80	3182.95
"45"	"4822-NGOCH"	"13"	"Month-to-month"	"Yes"	"Electronic check"	84.45	1058.6
"46"	"9067-SQTNS"	"44"	"One year"	"No"	"Bank transfer (automatic)"	20.6	926
"47"	"0587-DMGBH"	"8"	"Month-to-month"	"Yes"	"Electronic check"	49.85	365.55
"48"	"9391-DXGGG"	"44"	"One year"	"No"	"Credit card (automatic)"	89.15	3990.75
"49"	"8932-CZHRQ"	"68"	"One year"	"No"	"Credit card (automatic)"	76.75	5233.25
"50"	"8714-EUHJO"	"971"	"Month-to-month"	"Yes"	"Electronic check"	91.15	2995.45
"51"	"6652-YFFJO"	"11"	"Month-to-month"	"Yes"	"Electronic check"	NA	716.1
"52"	"7488-MXJIV"	"Four"	"Month-to-month"	"Yes"	"Electronic check"	85.65	321.65
"53"	"9823-EALYC"	"72"	"Two year"	"Yes"	"Bank transfer (automatic)"	3.5	5727.45
"54"	"1591-MQJTP"	"51"	"One year"	"Yes"	"Bank transfer (automatic)"	93.65	4839.15
"55"	"4480-QQRHC"	"8"	"Month-to-month"	"Yes"	"Bank transfer (automatic)"	74.05	600.15
"56"	"4737-HOBAX"	"63"	"Two year"	"No"	"Credit card (automatic)"	79.8	5034.05
"57"	"3585-YNADK"	"57"	"One year"	"No"	"Bank transfer (automatic)"	74.6	4368.95
"58"	"3733-UOCWF"	"61"	"One year"	"Yes"	"Bank transfer (automatic)"	85.55	5251.75
"59"	"1363-TXLSL"	"One"	"Month-to-month"	"Yes"	"Electronic check"	70.3	70.3
"60"	"0195-IESCP"	"10"	"Month-to-month"	"Yes"	"Electronic check"	85.25	855.3
"61"	"8550-XSXUQ"	"48"	"One year"	"Yes"	"Credit card (automatic)"	70.55	3420.5
"62"	"0495-ZBNGW"	"5"	"Month-to-month"	"Yes"	"Bank transfer (automatic)"	79.9	343.95
"63"	"1422-DGUBX"	"32"	"One year"	"Yes"	"Electronic check"	79.25	2619.15
"64"	"0402-CQAJN"	"37"	"Month-to-month"	"Yes"	"Bank transfer (automatic)"	101.9	3545.35
"65"	"7605-BDWDC"	"31"	"Two year"	"Yes"	"Bank transfer (automatic)"	49.85	NA
"66"	"4098-NAUKP"	"68"	"Month-to-month"	"Yes"	"Electronic check"	84.65	5683.6
"67"	"4759-TRPLW"	"1008"	"Month-to-month"	"No"	"Electronic check"	70.4	NA
"68"	"2040-XBAVJ"	"72"	"Two year"	"No"	"Bank transfer (automatic)"	114.45	8100.55
"69"	"8087-LGYHQ"	"9"	"Month-to-month"	"Yes"	"Electronic check"	94.05	811.65
"70"	"6374-AFWOX"	"46"	"Two year"	"No"	"Mailed check"	8	3047.15
"71"	"5022-JNQEQ"	"9"	"Month-to-month"	"Yes"	"Electronic check"	75.85	647.5
"72"	"9824-QCJPK"	"36"	"One year"	"No"	"Mailed check"	20	666.75
"73"	"2333-KWEWW"	"18"	"Two year"	"No"	"Credit card (automatic)"	20.05	388.6
"74"	"3889-VWBID"	"68"	"Two year"	"No"	"Bank transfer (automatic)"	82.85	5776.45
"75"	"8946-BFWSG"	"63"	"Two year"	"No"	"Mailed check"	25.25	1573.05
"76"	"5996-DAOQL"	"One"	"Month-to-month"	"Yes"	"Mailed check"	20.45	20.45
"77"	"8148-BPLZQ"	"34"	"Month-to-month"	"Yes"	"Electronic check"	49.8	NA
"78"	"1764-VUUMT"	"66"	"Two year"	"No"	"Credit card (automatic)"	19.95	1269.1
"79"	"1347-KTTTA"	"64"	"One year"	"Yes"	"Credit card (automatic)"	102.45	6654.1
"80"	"8065-YKXKD"	"10"	"Month-to-month"	"Yes"	"Electronic check"	74.75	799.65
"81"	"5334-AFQJB"	"72"	"Two year"	"Yes"	"Credit card (automatic)"	25.1	1789.9
"82"	"0431-APWVY"	"28"	"One year"	"Yes"	"Bank transfer (automatic)"	8	2598.95
"83"	"6202-DYYFX"	"22"	"One year"	"Yes"	"Credit card (automatic)"	76	1783.6
"84"	"8869-LIHMK"	"64"	"Two year"	"Yes"	"Bank transfer (automatic)"	115.1	7334.05
"85"	"3441-CGZJH"	"43"	"One year"	"Yes"	"Credit card (automatic)"	60.4	2640.55
"86"	"8727-XDPUD"	"37"	"Two year"	"No"	"Credit card (automatic)"	35.8	1316.9
"87"	"1754-GKYPY"	"22"	"Month-to-month"	"Yes"	"Bank transfer (automatic)"	89.75	1938.9
"88"	"8404-VIOMB"	"66"	"Two year"	"Yes"	"Bank transfer (automatic)"	62.5	4136.4
"89"	"5919-TMRGD"	"One"	"Month-to-month"	"Yes"	"Electronic check"	NA	79.35
"90"	"5201-CBWYG"	"62"	"One year"	"No"	"Bank transfer (automatic)"	24.8	NA
"91"	"0374-IOEGQ"	"3"	"Month-to-month"	"No"	"Electronic check"	44.6	122.7
