,price,vehicleType,gearbox,powerPS,model,kilometer,fuelType,brand,notRepairedDamage,Age
1,13299,suv,manual,163,xc_reihe,150000,diesel,volvo,no,13.5
3,4500,small car,manual,86,ibiza,60000,petrol,seat,no,13.0
4,18750,suv,automatic,185,xc_reihe,150000,diesel,volvo,no,10.92
5,988,limousine,manual,90,passat,150000,petrol,volkswagen,no,23.17
7,1399,coupe,manual,136,clk,150000,petrol,mercedes_benz,no,21.92
8,4680,station wagon,manual,122,vectra,150000,petrol,opel,no,14.0
9,8340,limousine,automatic,140,octavia,125000,diesel,skoda,no,13.33
10,1870,limousine,manual,82,a_klasse,150000,petrol,mercedes_benz,no,17.08
11,2500,coupe,manual,105,astra,125000,petrol,opel,no,17.33
12,990,small car,manual,68,yaris,150000,petrol,toyota,no,17.75
14,2200,limousine,manual,83,meriva,125000,petrol,opel,no,15.42
16,1300,suv,manual,101,others,150000,diesel,nissan,yes,25.83
18,600,small car,manual,75,golf,150000,petrol,volkswagen,yes,20.0
20,680,limousine,manual,88,3_reihe,150000,petrol,mazda,no,26.75
22,1599,cabrio,manual,75,golf,150000,petrol,volkswagen,no,23.33
23,1000,small car,manual,75,golf,150000,petrol,volkswagen,no,22.25
24,1100,limousine,manual,75,colt,150000,petrol,mitsubishi,no,19.25
25,3999,cabrio,manual,133,80,150000,petrol,audi,no,27.5
26,1290,small car,manual,60,panda,150000,petrol,fiat,no,16.0
27,3900,cabrio,manual,88,micra,125000,petrol,nissan,no,12.25
28,700,station wagon,manual,155,156,150000,petrol,alfa_romeo,yes,18.75
29,2250,station wagon,manual,175,others,125000,petrol,saab,yes,13.67
30,7800,coupe,automatic,143,c_klasse,125000,petrol,mercedes_benz,no,12.25
32,12250,limousine,manual,122,1er,50000,petrol,bmw,no,7.5
33,3750,coupe,manual,150,3er,150000,petrol,bmw,no,18.33
34,2800,small car,manual,87,yaris,80000,petrol,toyota,no,14.08
37,18990,limousine,automatic,156,c_klasse,80000,petrol,mercedes_benz,no,9.75
39,2400,limousine,manual,105,golf,150000,petrol,volkswagen,no,15.33
40,1500,small car,manual,75,3_reihe,150000,petrol,peugeot,no,19.75
42,19000,suv,automatic,152,freelander,90000,diesel,land_rover,no,8.42
