Date,Open,High,Low,Close,Volume
3-Jan-11,798,824.95,796,810.55,17600
13-Jan-11,748.1,768,NA,752.85,13000
24-Jan-11,741,626.01,732.55,NA,8700
1-Feb-11,753,753,712.1,717.25,23700
11-Feb-11,647.9,654.55,626.35,642.4,12800
21-Feb-11,668.35,668.9,657.05,662.6,16100
1-Mar-11,670,685,666.2,682.85,10400
11-Mar-11,736.5,749,720,734.7,37100
21-Mar-11,750,768.85,740,742.1,28300
1-Apr-11,797.25,800,775,783.15,13500
11-Apr-11,804,804,790,801.05,13500
21-Apr-11,840,841.8,825.05,827.5,7200
2-May-11,858,863,844.6,857.3,11900
12-May-11,888,890,861.3,864.05,36900
23-May-11,860,864,847,849.6,6600
1-Jun-11,866.1,871.85,851.05,858.95,9500
10-Jun-11,844.25,847.75,837.7,839.2,3500
21-Jun-11,824.55,837,818.1,828.95,6000
1-Jul-11,876.1,878,862,864.1,3700
11-Jul-11,861.15,877.5,852.05,871.65,19200
21-Jul-11,856,881.3,855,879.35,16600
1-Aug-11,870,880,862.15,864.15,4600
11-Aug-11,793,819.05,782.35,799.5,7300
22-Aug-11,763.1,799,763,796.1,9100
2-Sep-11,843,860,831.1,857.25,8800
12-Sep-11,840,664,839.5,850.55,4300
22-Sep-11,814.85,815.9,786,795.5,14900
3-Oct-11,687,692,675,683.4,10700
13-Oct-11,688,702.7,682.9,NA,38400
24-Oct-11,703,706.5,678.5,680.1,15700
1-Nov-11,740,740,687,690.8,13800
11-Nov-11,702.1,702.1,681,698.6,19600
21-Nov-11,620,620,597.4,607.15,13600
1-Dec-11,619,621.9,NA,605,21200
12-Dec-11,610,610,585,586.7,9500
22-Dec-11,568.7,573,556.05,570.25,6100
2-Jan-12,580,587.7,580,580.85,3000
12-Jan-12,637,685.55,637,NA,38200
23-Jan-12,737,766.95,726.2,756.4,23600
1-Feb-12,812,825,808.15,819.8,17200
10-Feb-12,870.45,899,859,873.3,14900
21-Feb-12,891.25,901.5,874.1,877.65,16400
1-Mar-12,815,818.8,802.25,813.25,18000
12-Mar-12,847,856.45,832.85,840.1,11400
22-Mar-12,827.45,585.4,805,813.75,17900
2-Apr-12,850,857.65,841.5,843.95,6100
12-Apr-12,820.5,840,820.5,835.95,5500
23-Apr-12,818.85,825.95,803,806.7,4000
1-May-12,1778,818,818,818,zero
11-May-12,NA,734.75,716.75,720.9,17700
21-May-12,706.25,NA,706.25,710.15,3400
1-Jun-12,736.6,741.95,704.8,712.8,5900
11-Jun-12,766,781,748,755.25,7800
21-Jun-12,777.35,807,777.35,797.25,9800
2-Jul-12,802,808.55,801,804.3,5000
12-Jul-12,788,791,782.1,783.95,4000
23-Jul-12,756,756.65,733.85,735.8,8200
1-Aug-12,797.9,798.9,790.95,796.45,4300
10-Aug-12,787,790,765.5,771.8,10300
21-Aug-12,770.7,774.75,765.55,770.35,4600
3-Sep-12,724,727,712,720.3,3900
13-Sep-12,760,760,725,730.15,5100
24-Sep-12,770.05,440.8,770.05,783.45,10200
1-Oct-12,797,NA,786.05,792.75,8500
11-Oct-12,776.3,785.05,776.3,782.2,7000
22-Oct-12,773,776,767,771.85,4600
1-Nov-12,735.5,749,734.5,NA,5400
12-Nov-12,758.3,830,725.15,728.3,4700
21-Nov-12,710,714,705,708.75,3900
3-Dec-12,718.95,722.6,715.15,718.15,6800
13-Dec-12,712.5,717,703.1,705.9,5200
24-Dec-12,685.8,693.5,685,690.35,12200
1-Jan-13,707.4,709.2,702,704.9,3400
11-Jan-13,708,711.2,691,694.85,7200
21-Jan-13,686.75,695.8,680,684.35,6800
1-Feb-13,653,NA,638,646.3,9400
11-Feb-13,649.95,654.5,646.05,651.6,3300
21-Feb-13,NA,623.85,573,583.4,98100
1-Mar-13,573,583.1,NA,574.4,5700
11-Mar-13,NA,628.35,604.3,621.75,19200
21-Mar-13,532,540.2,520.5,523.55,13300
1-Apr-13,494.2,NA,491.35,511.1,14600
11-Apr-13,478,484,475,478.05,14300
